"country","title","most_recent_year"
"Argentina","The Kingdom",2021
"Australia","Heroes of Goo Jit Zu",2021
"Belgium","Bigfoot Family",2021
"Brazil","Get the Grift",2021
"Canada","Wish Dragon",2021
"Cayman Islands","Charming",2021
"China","Wish Dragon",2021
"Colombia","Lokillo: Nothing's the Same",2021
"Czech Republic","Haunted",2021
"Denmark","Lift Like a Girl",2021
"Egypt","Abla Fahita: Drama Queen",2021
"France","Sentinelle",2021
"Germany","Stowaway",2021
"Greece","Beckett",2021
"Hungary","Outside the Wire",2021
"Iceland","Katla",2021
"India","My Love: Six Stories of True Love",2021
"Indonesia","June & Kopi",2021
"Ireland","Polly Pocket",2021
"Israel","Black Space",2021
"Italy","Caught by a Wave",2021
"Japan","My Love: Six Stories of True Love",2021
"Jordan","AlRawabi School for Girls",2021
"Mauritius","Jungle Beat: The Movie",2021
"Mexico","Somos.",2021
"Netherlands","Ferry",2021
"New Zealand","Cousins",2021
"Nigeria","Marked",2021
"Norway","Ragnarok",2021
"Philippines","Trese",2021
"Poland","The Mire",2021
"Qatar","Bombay Rose",2021
"Russia","Secret Magic Control Agency",2021
"Saudi Arabia","The Tambour of Retribution",2021
"Singapore","Sharkdog",2021
"South Korea","Love (ft. Marriage and Divorce)",2021
"South Africa","Trippin' with the Kandasamys",2021
"Spain","My Love: Six Stories of True Love",2021
"Sweden","Red Dot",2021
"Taiwan","The Soul",2021
"Thailand","Let's Fight Ghost",2021
"Turkey","Fatma",2021
"United States","MeatEater",2021
"United Arab Emirates","Myriam Fares: The Journey",2021
"United Kingdom","The Kissing Booth 3",2021
"United States","Outside the Wire",2021
"Uruguay","Magical Andes",2021
"Vietnam","Camellia Sisters",2021
"Algeria","DNA",2020
"Angola","Santana",2020
"Austria","The Strange House",2020
"Bulgaria","The Outpost",2020
"Cameroon","The Fisherman's Diary",2020
"Chile","Nobody Knows I'm Here",2020
"Finland","Deadwind",2020
"Kenya","Just In Time",2020
"Lebanon","Children of Adam",2020
"Malaysia","All Because of You",2020
"Pakistan","Sitara: Let Girls Dream",2020
"Portugal","Fatima",2020
"South Korea","Kingdom",2020
"Ghana","The Perfect Picture: Ten Years Later",2019
"Guatemala","Guatemala: Heart of the Mayan World",2019
"Hong Kong","The Defected",2019
"Hong Kong","The Professor and the Madman",2019
"Kuwait","Juman",2019
"Luxembourg","Capitani",2019
"Malawi","The Boy Who Harnessed the Wind",2019
"Mozambique","Redemption",2019
"Namibia","Baxu and the Giants",2019
"Palestine","Ibrahim a Fate to Define",2019
"Romania","5Gang",2019
"Senegal","Sakho & Mangane",2019
"Serbia","Incoming",2019
"Syria","Aziza",2019
"Albania","Forgive Us Our Debts",2018
"Bangladesh","Sincerely Yours, Dhaka",2018
"Cambodia","Funan",2018
"Croatia","The Paper",2018
"Georgia","The Trader (Sovdagari)",2018
"Iran","The Other Side of the Wind",2018
"Iraq","Weapon of Choice",2018
"Jamaica","Sprinter",2018
"Malta","Queen of the South",2018
"Morocco","Operation Red Sea",2018
"Nepal","Pahuna",2018
"Paraguay","The Last Runway",2018
"Peru","How to Get Over a Breakup",2018
"Puerto Rico","Nicky Jam: El Ganador",2018
"Switzerland","Happy as Lazzaro",2018
"Uganda","Waterschool",2018
"Vatican City","Pope Francis: A Man of His Word",2018
"Armenia","Barbecue",2017
"Cyprus","Talking Tom and Friends",2017
"Dominican Republic","In The Deep",2017
"Mongolia","Barbecue",2017
"Samoa","Losing Sight of Shore",2017
"Somalia","The Pirates of Somalia",2017
"Sudan","The Pirates of Somalia",2017
"Ukraine","The Sniffer",2017
"Venezuela","El Che",2017
"Zimbabwe","Trophy",2017
"Afghanistan","The Land of the Enlightened",2016
"Belarus","Sunny Bunnies",2016
"Botswana","Naledi: A Baby Elephant's Tale",2016
"Cuba","Four Seasons in Havana",2016
"Kazakhstan","Tellur Aliens",2016
"Latvia","Devil's Bride",2016
"Slovakia","The Devil's Mistress",2016
"Slovenia","The Rift: The Dark Side of the Moon",2016
"Lithuania","The Eichmann Show",2015
"Montenegro","You Carry Me",2015
"Nicaragua","Freeway: Crack in the System",2015
"Panama","The Real Miyagi",2015
"Bermuda","Mission Blue",2014
"Ecuador","Mission Blue",2014
"Azerbaijan","Mahmut & Meryem",2013
"Sri Lanka","Chandani: The Daughter of the Elephant Whisperer",2010
"Bahamas","Casino Royale",2006
"Burkina Faso","Sankofa",1993
"Ethiopia","Sankofa",1993
"Soviet Union","Shikari",1991
"West Germany","Shaka Zulu",1986
"East Germany","Willy Wonka & the Chocolate Factory",1971
"Liechtenstein","Doctor Zhivago",1965
