"title","media_type","description"
"Krishna Cottage","Movie","True love is put to the test when another woman comes between a pair of star-crossed young lovers in this thriller."
"Ray","TV Show","From a satire to a psychological thriller, four short stories from celebrated auteur and writer Satyajit Ray are adapted for the screen in this series."
"Xtreme","Movie","In this fast-paced and action-packed thriller, a retired hitman — along with his sister and a troubled teen — takes revenge on his lethal stepbrother."
"Never Back Down 2: The Beatdown","Movie","A group of mixed martial arts fighters stars in this action thriller that follows a quartet of brawlers as they prepare for a major underground event."
"Deadly Switch","Movie","In this indie thriller, a foreign exchange student moves in with her roommate's family who grieves over the daughter they would do anything to get back."
"Raman Raghav 2.0","Movie","A corrupt cop and a serial killer obsessed with a psychopath from the '60s get caught up in a ruthless cat-and-mouse game in this Indian thriller."
"Snowden","Movie","This thriller traces Edward Snowden's journey from Army recruit to disillusioned government analyst bent on exposing vast U.S. surveillance programs."
"DreamWorks Spooky Stories: Volume 2","TV Show","The Shrek characters parody the music video ""Thriller""; B.O.B. and pals battle zombie carrots; and Megamind faces the effects of the Button of Doom."
"The Body","Movie","Mind games and mystery abound as a detective investigates the disappearance of a woman’s body from a morgue in this Hindi remake of a Spanish thriller."
"The Bling Ring","Movie","Based on fact, this comic thriller tracks the saga of the Hollywood Hills Burglar Bunch, who used the Web to time their robberies of stars' homes."
"Ghost Stories","Movie","The directors of Emmy-nominated ""Lust Stories"" (Zoya Akhtar, Anurag Kashyap, Dibakar Banerjee and Karan Johar) reunite for this quartet of thrillers."
"Til Death Do Us Part","TV Show","Based on the speculative short stories of MirrorFiction, this sci-fi thriller anthology plunges headlong into our deepest desires – and darkest fears."
"The Son","Movie","In this psychological thriller, painter Lorenzo's life spirals out of control as he fears his wife is trying to isolate him from their infant son."
"Designated Survivor","TV Show","America's fate rests in the hands of a low-level official after an attack on Washington decimates the government in this gripping political thriller."
"The Perfection","Movie","In this twisty horror-thriller, a once-promising music prodigy reconnects with her former mentors, only to find them taken with a talented new pupil."
"1983","TV Show","In this dark alt-history thriller, a naïve law student and a world-weary detective uncover a conspiracy that has tyrannized Poland for decades."
"Aamir","Movie","In this high-tension thriller, an anonymous caller on a cell phone threatens to harm a man's family if he doesn't carry out every order."
"No One Killed Jessica","Movie","This thriller tells the true story of model Jessica Lall – who was shot dead in a restaurant – and the campaign to bring her killer to justice."
"Making a Murderer","TV Show","Filmed over 10 years, this real-life thriller follows a DNA exoneree who, while exposing police corruption, becomes a suspect in a grisly new crime."
"Garbage","Movie","The lives of a fundamentalist online troll and a woman reeling from a sex tape gone viral become dangerously intertwined in this provocative thriller."
"Ravenous","Movie","As a zombie plague ravages their rural Quebec town, a scrappy band of survivors join forces to flee the infected hordes in this quiet thriller."
"The Frozen Dead","TV Show","A grisly find atop a mountain in the French Pyrenees leads investigator Martin Servaz into a twisted dance with a serial killer in this icy thriller."
"Longmire","TV Show","This contemporary crime thriller focuses on a Wyoming sheriff who's rebuilding his life and career following the death of his wife."
"Gypsy","TV Show","Therapist Jean Holloway develops dangerous and intimate relationships with the people in her patients' lives in this simmering psychological thriller."
"Shimmer Lake","Movie","Unfolding in reverse time, this darkly comic crime thriller follows a local sheriff hunting three bank robbery suspects, one of whom is his brother."
"Victim of Beauty","Movie","A beauty pageant winner is stalked by a serial killer who kidnaps her sister and torments her family in this thriller based on a shocking true story."
"Apollo 18","Movie","This sci-fi thriller suggests that Apollo 17, despite official statements to the contrary, wasn't NASA's last manned mission to the moon."
"Brooklyn's Finest","Movie","Three cops find themselves hurtling toward the same crime scene on one fatal night in this tense, edge-of your-seat thriller."
"Dark Chocolate (Bengali Version)","Movie","In this Bangla thriller inspired by a true story, the discovery of a charred corpse in the woods leads to a high-profile murder investigation."
"Hard Tide","Movie","A drug dealer who's been emulating his father's successful criminal career is forced to go on the run with a young girl in this fact-based thriller."
"Merantau","Movie","In this fast-paced Indonesian thriller, a young martial arts master travels to Jakarta, where he saves an orphan from a human-trafficking ring."
"Pusher","Movie","In this remake of a 1996 Danish thriller, a drug pusher incurs his suppliers' wrath when he gets busted and is left without the money he owes."
"Tezz","Movie","This high-octane thriller tells the story of a man on a mission to reclaim what was taken from him and the agent who's determined to stop him."
"The Devil Inside","Movie","At once spooky and grisly, this thriller follows a woman's quest to find the truth behind claims her mother killed three people during an exorcism."
"The Frozen Ground","Movie","In this fact-based thriller, an Alaska state trooper pursuing a serial killer teams with a 17-year-old-prostitute who escaped the predator's clutches."
"War","Movie","When his partner is killed and all clues point to a notorious assassin, FBI agent Jack Crawford sets out for revenge in this taut action-thriller."
"Zodiac","Movie","A political cartoonist, a crime reporter and a pair of cops investigate San Francisco's infamous Zodiac Killer in this thriller based on a true story."
